ticker,price,beta,rho,buy_signal,bb_dist
6222.TWO,20.399999618530273,0.26,0.28,False,0.08438551761819824
4538.TWO,18.5,0.1,0.24,False,0.10634574641665395
8487.TW,76.0,0.18,0.15,False,0.14837589681728502
6020.TWO,21.75,0.53,0.36,False,0.20202807430688452
9912.TW,12.600000381469727,0.01,0.02,False,0.23395952422639965
6615.TWO,34.599998474121094,0.04,0.04,False,0.35207730010114346
3191.TWO,18.200000762939453,0.61,0.28,False,0.358531655152472
3631.TWO,32.29999923706055,0.27,0.23,False,0.42219407072953885
1521.TW,25.600000381469727,0.18,0.16,False,0.49924718100660925
2834.TW,18.049999237060547,0.14,0.23,False,0.5934056821388403
9929.TW,11.399999618530273,0.12,0.08,False,0.7011594672022383
2867.TW,8.979999542236328,0.12,0.18,False,0.7352730928662172
3171.TWO,63.599998474121094,0.42,0.33,False,0.7358178120940906
1817.TW,38.599998474121094,0.07,0.17,False,0.7904433951708683
4440.TW,17.5,0.01,0.01,False,0.8024070244339896
2707.TW,178.5,0.04,0.09,False,0.8521478925555073
2069.TW,18.649999618530273,0.22,0.3,False,0.8582636871907319
2937.TWO,47.5,0.03,0.06,False,0.9157969645361774
9905.TW,20.700000762939453,0.08,0.22,False,0.961114559195277
9908.TW,29.149999618530273,0.01,0.07,False,0.9801369924955381
2801.TW,23.899999618530273,0.14,0.21,False,1.0210323803747556
2488.TW,49.099998474121094,0.2,0.32,False,1.1980840468140812
5276.TWO,19.25,0.82,0.34,False,1.3123133357401322
2849.TW,14.949999809265137,0.16,0.21,False,1.43284130544777
9918.TW,44.20000076293945,-0.06,-0.11,False,1.4929640157014887
1443.TW,27.049999237060547,0.2,0.18,False,1.4950029063143688
4155.TW,16.049999237060547,-0.06,-0.06,False,1.566039645404885
9960.TWO,33.20000076293945,0.2,0.15,False,1.5689148521573983
9926.TW,50.79999923706055,0.02,0.07,False,1.8523492340654428
1402.TW,27.700000762939453,0.12,0.1,False,1.8555718779158887
3576.TW,17.850000381469727,0.4,0.18,False,1.9854270181788074
6195.TWO,26.5,0.11,0.08,False,2.030197892787861
6958.TW,18.0,0.15,0.14,False,2.032309854722971
2324.TW,36.0,0.92,0.45,False,2.0973989606149672
5212.TWO,47.70000076293945,0.01,0.01,False,2.1614406267734907
6666.TW,44.900001525878906,0.08,0.11,False,2.253765739729289
2892.TW,34.099998474121094,0.1,0.14,False,2.296355709619469
2884.TW,35.099998474121094,0.14,0.23,False,2.3363229511758448
8284.TWO,62.599998474121094,0.14,0.27,False,2.386292892582887
3226.TWO,46.20000076293945,0.08,0.07,False,2.474837596832934
7715.TWO,35.599998474121094,0.41,0.27,False,2.73420687149644
2008.TW,31.049999237060547,0.27,0.38,False,2.7795665024420266
1470.TW,23.100000381469727,0.18,0.19,False,2.806125912176796
2886.TW,47.599998474121094,-0.01,-0.01,False,2.899027125896353
1808.TW,32.20000076293945,0.06,0.06,False,3.0415787649687402
2727.TW,218.5,0.09,0.18,False,3.335889793176733
7777.TWO,41.79999923706055,0.62,0.25,False,3.630355190654285
3045.TW,111.0,-0.03,-0.05,False,3.8013547519468744
4506.TWO,122.0,0.03,0.12,False,3.9183683345511895
1203.TW,45.95000076293945,-0.01,-0.01,False,4.180531699954955
3706.TW,88.30000305175781,0.77,0.55,False,4.502922594835354
5876.TW,45.20000076293945,0.03,0.05,False,4.75969389712467
1268.TWO,169.5,0.1,0.18,False,4.831455268132061
2546.TW,96.0999984741211,0.03,0.05,False,4.964492610807255
6464.TW,77.0999984741211,-0.16,-0.47,False,5.2554024508027055
9917.TW,109.0,0.04,0.07,False,5.4364490892753
6655.TW,121.0,0.23,0.32,False,5.491286179524536
2412.TW,138.0,-0.03,-0.06,False,6.004719773825258
1525.TW,68.0,0.27,0.22,False,6.19307443420999
1472.TW,88.69999694824219,0.02,0.03,False,6.225051997651207
4904.TW,103.0,-0.04,-0.04,False,10.266485462553803
4536.TW,165.5,0.1,0.19,False,11.087837132518075
2640.TWO,161.0,0.12,0.14,False,12.732365335666003
6414.TW,395.0,0.64,0.46,False,39.23634206132169
